Aaliyah (np) 	Aaliyah (np.ant) 
cyffesu	confess (vblex) 
cyffin	nearby_area (n) 
cyffio	become#_stiff (vblex) 
cyffredin	common (adj) 
cyffredinol	general (adj) 
cyffredinoliad	generalisation (n) 
cyffredinoli	generalise (vblex) 
cyffro	excitement (n) 
cyffroi	excite (vblex) 
cyffrous	exciting (adj) 
cyffur	drug (n) 
cyffuriau	drugs (n) 
cyffwrdd	touch (vblex) 
cyfiau	conjugate (n) 
cyfiawnder	justice (n) 
cyfiawnhad	justification (n) 
cyfiawnhau	justify (vblex) 
cyfieithiad	translation (n) 
cyfieithiedig	translated (adj) 
cyfieithu	translate (vblex) 
cyfieithydd	translator (n) 
cyfieuo	yoke (vblex) 
cyflafareddu	confer (vblex) 
cyflawn	complete (adj) 
cyflawni	accomplish (vblex) 
cyflawniad	achievement (n) 
cyflawnrwydd	completeness (n) 
cyflegru	bombard (vblex) 
cyflenwadau	supplies (n) 
cyflenwad	supply (n) 
cyflenwi	supply (vblex) 
cyflenwol	complementary (adj) 
cyfle	opportunity (n) 
cyfleu	imply (vblex) 
cyfleus	convenient (adj) 
cyfleuster	convenience (n) 
cyfliwio	tint (vblex) 
cyflogaeth	employment (n.unc) 
cyflogai	employee (n) 
cyflogedig	employed (adj) 
cyflogi	employ (vblex) 
cyflog	wage (n) 
cyflogwr	employer (n) 
cyfloi	impregnate (vblex) 
cyf	ltd (adj) 
cyflunedd	similarity (n) 
cyflunio	configure (vblex) 
cyflun	similar (adj) 
cyflwr	condition (n) 
cyflwyniadol	dedicatory (adj) 
cyflwyniad	presentation (n) 
cyflwynlyfr	primer (n) 
cyflwyno	introduce (vblex) 
cyflymder	speed (n) 
cyflymder	velocity (n) 
cyflym	fast (adj) 
cyflymiad	acceleration (n) 
cyflymu	accelerate (vblex) 
cyflymydd	accelerator (n) 
cyflynu	cohere (vblex) 
cyflyru	condition (vblex) 
cyfnerthu	reinforce (vblex) 
cyfnewid	exchange (vblex) 
cyfnewidfa	exchange (n) 
cyfnewidiol	variable (adj) 
cyfnodol	periodic (adj) 
cyfnodolyn	periodical (n) 
cyfnod	period (n) 
cyfochrog	parallel (adj) 
cyfodi	lift (vblex) 
cyfodli	rhyme#_with (vblex) 
cyfoed	contemporary (n) 
cyfoedi	be#_contemporaneous_with (vblex) 
cyfoesi	be#_contemporaneous_with (vblex) 
cyfoes	modern (adj) 
cyfoethogi	enrich (vblex) 
cyfoethog	wealthy (adj) 
cyfoeth	wealth (n) 
cyfogi	vomit (vblex) 
cyfori	cover (vblex) 
cyfosod	juxtapose (vblex) 
cyfosod	juxtaposition (n) 
cyfradd	rate (n) 
cyfraith	law (n) 
cyfranddaliad	share (n) 
cyfraniad	contribution (n) 
cyfrannog	participant (n) 
cyfrannol	proportional (adj) 
cyfrannu#_at	contribute#_to (vblex) 
cyfrannu	contribute (vblex) 
cyfrannwr	contributor (n) 
cyfranogiad	participation (n) 
cyfranogi	participate#_in (vblex) 
cyfran	portion (n) 
cyfrddwyn	remove#_entirely (vblex) 
cyfrdroi	permute (vblex) 
cyfredeg	keep#_pace_with (vblex) 
cyfredol	current (adj) 
cyfreithio	litigate (vblex) 
cyfreithiol	legal (adj) 
cyfreithiwr	lawyer (n) 
cyfreithlondeb	lawfulness (n) 
cyfreithloni	legalise (vblex) 
cyfresoliad	serialisation (n) 
cyfresol	serial (adj) 
cyfres	series (n) 
cyfresymu	syllogise (vblex) 
cyfrif	account (n) 
cyfrif	count (n) 
cyfrif	count (vblex) 
cyfrifeg	accounting (n) 
cyfrifiad	calculation (n) 
cyfrifiad	census (n) 
cyfrifiadur	computer (n) 
cyfrifiadureg	computing (n) 
cyfrifiaduro	computerise (vblex) 
cyfrifiadurol	computer (adj) 
cyfrifiannell	calculator (n) 
cyfrifiannu	compute (vblex) 
cyfriflen	bank_statement (n) 
cyfrifo	count (vblex) 
cyfrifoldeb	responsibility (n) 
cyfrifol	responsible (adj) 
cyfrifyddol	accounting (adj) 
cyfrinachedd	confidentiality (n) 
cyfrinachol	confidential (adj) 
cyfrinach	secret (n) 
cyfrinair	password (n) 
cyfriniaeth	mysticism (n) 
cyfrinymadrodd	passphrase (n) 
cyfro	cover (vblex) 
cyfrodeddu	entwine (vblex) 
cyfrol	volume (n) 
cyfrwng	medium (n) 
cyfrwyo	saddle (vblex) 
cyfryngu	intervene (vblex) 
cyfryw	like (adj) 
cyfseriad	constellation (n) 
cyfundrefn	system (n) 
cyfundrefnu	systematise (vblex) 
cyfuniad	combination (n) 
cyfun	merged (adj) 
cyfuno	combine (vblex) 
cyfunol	combined (adj) 
cyfunol	federated (adj) 
cyfunrhywoliaeth	homosexuality (n) 
cyfweld	interview (vblex) 
cyfweliad	interview (n) 
cyfwerth	equivalent (adj) 
cyfwng	interval (n) 
cyfyng	confined (adj) 
cyfyngedig	limited (adj) 
cyfyngiad	limitation (n) 
cyfyngiad	restriction (n) 
cyfyngu	limit (vblex) 
cyfystyr	synonym (n) 
cyfystyr	synonymous (adj) 
cyhoeddedig	published (adj) 
cyhoeddiadau	publications (n) 
cyhoeddiad	publication (n) 
cyhoeddi	publish (vblex) 
cyhoedd	public (n) 
cyhoeddus	public (adj) 
cyhoeddusrwydd	publicity (n.unc) 
cyhoeddwr	publisher (n) 
cyhuddiad	accusation (n) 
cyhuddo	accuse (vblex) 
cyhwfan	flutter (vblex) 
cyhyd	as_long (adj) 
cyhydedd	equator (n) 
cyhydeddu	divide#_equally (vblex) 
cyhyr	muscle (n) 
cyhyrog	muscular (adj) 
cylcharwain	lead#_about (vblex) 
cylch	circle (n) 
cylchdroi	rotate (vblex) 
cylchdro	rotation (n) 
cylchedd	circumference (n) 
cylchfan	roundabout (n) 
cylchfa	zone (n) 
cylchgrawn	magazine (n) 
cylchlythyr	circular (n) 
cylchlythyru	circularise (vblex) 
cylchoedd	circles (n) 
cylchol	cyclic (adj) 
cylchol	recurring (adj) 
cylchred	cycle (n) 
cylchredeg	circulate (vblex) 
cylchrediad	circulation (n) 
cylchredol	circulating (adj) 
cylchu	circle (vblex) 
cylchwedd	groupware (n) 
cylchyn	circumference (n) 
cylchynu	surround (vblex) 
cylch#_yr_Orsedd	bardic_circle (n) 
cyllell	knife (n) 
cyllellu	gash (vblex) 
cyllideb	budget (n) 
cyllidebol	budgetary (adj) 
cyllid	finance (n) 
cyllid	funding (n) 
cyllido	finance (vblex) 
cyllidol	financial (adj) 
cyllid	revenue (n) 
cymaint_â	as_big_as (adv) 
cymaint	so_much (adj) 
cymal	clause (n) 
cymal	joint (n) 
cymanwlad	commonwealth (n) 
cymaradwy	comparable (adj) 
cymar	spouse (n) 
cymathiad	assimilation (n) 
cymathu	assimilate (vblex) 
cymdeithas	association (n) 
cymdeithaseg	sociology (n) 
Cymdeithas_Feddygol_Brydeinig (np.org) 	British_Medical_Association (np.org) 
Cymdeithas (np.org) 	Cymdeithas (np.org) 
cymdeithasol	social (adj) 
Cymdeithas_Pêl-droed (np.org) 	Football_Association (np.org) 
cymdeithas	society (n) 
cymdeithasu	associate (vblex) 
Cymdeithas_yr_Iaith_Gymraeg (np.org) 	Cymdeithas_yr_Iaith_Gymraeg (np.org) 
Cymdeithas_yr_Iaith (np.org) 	Cymdeithas_yr_Iaith (np.org) 
cymdogaeth	neighbourhood (n) 
cymedrig	mean (adj.sint) 
cymedr	mean (n) 
cymedroledig	moderated (adj) 
cymedroli	moderate (vblex) 
cymedrol	moderate (adj) 
cymedrolwr	moderate (n) 
cymell	inducement (n) 
cymell	urge (vblex) 
cymeradwy	acceptable (adj) 
cymeradwyaeth	approval (n) 
cymeradwyo	approve (vblex) 
cymeriadau	characters (n) 
cymeriad	character (n) 
cymeryd	take (vblex) 
cymesur	commensurate (adj) 
cymesuredd	symmetry (n) 
cymesurol	symmetrical (adj) 
cymesur	symmetrical (adj) 
cymhareb	ratio (n) 
cymhares	spouse (n) 
cymhariaeth	comparison (n) 
cymharol	comparative (adj) 
cymharu	compare (vblex) 
cymharydd	comparator (n) 
cymhelliad	incentive (n) 
cymhelliant	motivation (n) 
cymhennu	tidy (vblex) 
cymhleth	complex (adj) 
cymhlethdod	complexity (n) 
cymhlethu	complicate (vblex) 
cymhlyg	complex (adj) 
cymhlygyn	complex (n) 
cymhorthdal	subsidy (n) 
cymhwysedd	competence (n) 
cymhwysiad	application (n) 
cymhwyso	adapt (vblex) 
cymhwyster	qualification (n) 
cymod	conciliation (n) 
cymodi	reconcile (vblex) 
cymod (n.GD) 	reconciliation (n) 
cymoni	adapt (vblex) 
cymortháu	assist (vblex) 
cymorth	help (n.unc) 
cymowta	gallivant (vblex) 
Cymraeg	Welsh (adj) 
Cymraeg	Welsh (n) 
Cymraes	Welsh_woman (n) 
Cymreictod	Welshness (n) 
cymreigio	cymricise (vblex) 
Cymreig	Welsh (adj) 
cymrodeddu	arbitrate (vblex) 
Cymro	Welsh_person (n) 
Cymru-Gyfan	All-Wales (adj) 
Cymru	Wales (np.top) 
cymryd#_rhan	take#_part (vblex) 
cymryd	take (vblex) 
cymudo	commute (vblex) 
cymundeb	communion (n) 
cymuned	community (n) 
cymunedol	community (adj) 
cymuno	communicate (vblex) 
cymwysedig	qualified (adj) 
cymwys	fit (adj.sint) 
cymydog	neighbour (n) 
cymylu	overshadow (vblex) 
cymynnu	bequeath (vblex) 
cymynroddi	bequeath (vblex) 
cymynu	fell (vblex) 
cymysgedd	mixture (n) 
cymysglyd	muddled (adj) 
cymysg	mixed (adj) 
cymysgu	mix (vblex) 
cymysgydd	mixer (n) 
cynadledda	attend#_conferences (vblex) 
cynadleddu	confer (vblex) 
cynaeafu	harvest (vblex) 
cynaladwy	sustainable (adj) 
cynaliadwyedd	sustainability (n) 
cynaliadwy	sustainable (adj) 
cynaliedig	supported (adj) 
cynanu	pronounce (vblex) 
cyn	as (preadv) 
cyn	before (cnjsub) 
cyn	before (pr) 
cynddaredd	rabies (n) 
cynddeiriogi	enrage (vblex) 
cyndynnu	act#_stubbornly (vblex) 
cyndynrwydd	reluctance (n) 
cyneddfu	judge#_competent (vblex) 
cynefindra	familiarity (n) 
cynefin	habitat (n) 
cynefino	become#_accustomed (vblex) 
cynenedigol	prenatal (adj) 
cynfas	canvas (n) 
cynffonna	toady (vblex) 
cynffon	tail (n) 
cyn	former (adj) 
cyn-fyfyriwr	fellow_student (n) 
cynganeddu	compose#_verse (vblex) 
cyngerdd	concert (n) 
cynghori	advise (vblex) 
cynghorol	advisory (adj) 
cynghorwr	councillor (n) 
cynghorydd	councillor (n) 
cynghoryn	tip (n) 
cynghraffu	clutch (vblex) 
cynghrair	alliance (n) 
cynghrair	league (n) 
cynghreirio	ally (vblex) 
cyn-gofrestru	preregister (vblex) 
cyngor	council (n) 
cynhadledd	conference (n) 
cynhaliaeth	support (n) 
cynhaliwr	supporter (n) 
cynheica	be#_in_heat (vblex) 
cynhenid	innate (adj) 
cynhenna	quarrel (vblex) 
cynhennu	quarrel (vblex) 
cynhesrwydd	warmth (n) 
cynhesu	warm (vblex) 
cynhinio	rend (vblex) 
cynhwynol	inherent (adj) 
cynhwysedd	capacity (n) 
cynhwysfawr	comprehensive (adj) 
cynhwysiad	include (n) 
cynhwysiad	inclusion (n) 
cynhwysol	inclusive (adj) 
cynhwysydd	container (n) 
cynhyrchiad	production (n) 
cynhyrchiant	production (n) 
cynhyrchiol	productive (adj) 
cynhyrchu	produce (vblex) 
cynhyrchwr	producer (n) 
cynhyrchydd	producer (n) 
cynhyrfu	agitate (vblex) 
cynhyrfus	exciting (adj) 
cynifer	so_many (adj) 
cynigio	offer (vblex) 
cynilo	save (vblex) 
cynio	gouge (vblex) 
cyniwair	frequent (vblex) 
cyniweirio	frequent (vblex) 
cynllunio	plan (vblex) 
cynllun	plan (n) 
cynllwynio	scheme (vblex) 
cynllyfanu	leash (vblex) 
cyn-lywydd	former_president (n) 
cyn-mynd	go#_with (vblex) 
cynnal#_cyfarfod	hold#_a_meeting (vblex) 
cynnal	support (vblex) 
cynnar	early (adj) 
cynnau	start (vblex) 
cynnau#_tân	light#_a_fire (vblex) 
cynnes	warm (adj) 
cynnig	offer (n) 
cynnig	offer (vblex) 
cynnig	proposal (n) 
cynnu	light (vblex) 
cynnull	gather (vblex) 
cynnwys	contain (vblex) 
cynnwys	content (n) 
cynnydd	increase (n) 
cynnydd	progress (n) 
cynnyrch	product (n) 
cynorthwyol	assistant (adj) 
cynorthwyol	assistive (adj) 
cynorthwyol	helper (adj) 
cynorthwyol	helpful (adj) 
cynorthwyo	support (vblex) 
cynorthwyydd	assistant (n) 
cyn-raddedig	pre-graded (adj) 
cynradd	primary (adj) 
cynrhoni	breed#_maggots (vblex) 
cynrychiadol	representative (adj) 
cynrychiolaeth	delegation (n) 
cynrychiolaeth	representation (n) 
cynrychioliadol	representational (adj) 
cynrychioliad	representation (n) 
cynrychioli	represent (vblex) 
cynrychiolwr	representative (n) 
cynrychiolydd	representative (n) 
cynsail	precedent (n) 
cyntaf	first (adj) 
cynta	first (adj) 
cynt	earlier (adj) 
cynted	soon_ (adv) 
cynulleidfa	audience (n) 
cynulliad	assembly (n) 
cynuta	gather#_fuel (vblex) 
cyn-Weinidog	former_Minister (n) 
cynyddol	increasing (adj) 
cynyddol	increasingly (adv) 
cynyddu	increase (vblex) 
cynysgaeddu	endow (vblex) 
cyplu	couple (vblex) 
cyplysu	couple (vblex) 
Cyprus	Cyprus (np.top) 
cyraeddadwy	achievable (adj) 
cyrchadwy	accessible (adj) 
cyrchfan	destination (n) 
cyrchiad	access (n) 
cyrchnod	goal (n) 
cyrchu	approach (vblex) 
cyrchydd	cursor (n) 
cyrcydu	squat (vblex) 
Cyrgystan	Kyrgyzstan (np.top) 
cyrhaeddiad	achievement (n) 
cyrhaeddwraig	achiever (n) 
Cyriac (np) 	Cyriac (np.ant) 
cyrion	margin (n) 
cyrnio	pile#_up (vblex) 
cyrraedd	arrive (vblex) 
cyrydu	corrode (vblex) 
cysawd	system (n) 
cysefin	prime (adj) 
cysegr-ladrad	sacrilege (n) 
cysegru	consecrate (vblex) 
cyseilio	institute (vblex) 
cyseinedd	alliteration (n) 
cyseinio	alliterate (vblex) 
cysgbair	narcotic (n) 
cysgodi	shelter (vblex) 
cysgod	shadow (n) 
cysgu	sleep (vblex) 
cysidro	consider (vblex) 
cysodi	typeset (vblex) 
cyson	constant (adj) 
cysondeb	consistency (n) 
cysondeb	regularity (n) 
cyson	even (adj) 
cysoniad	synchronisation (n) 
cysoni	reconcile (vblex) 
cysonyn	constant (n) 
cystadleuaeth	competition (n) 
cystadleuol	competitive (adj) 
cystadleuwr	competitor (n) 
cystadlu	compete (vblex) 
cystal	so_good (adj) 
cystrawen	syntax (n) 
cystuddio	vex (vblex) 
cystwyo	chastise (vblex) 
cysur	comfort (n) 
cysuro	comfort (vblex) 
cyswllt	link (n) 
cysylltedd	connectivity (n) 
cysylltiad	association (n) 
cysylltiad	connection (n) 
cysylltiedig	connected (adj) 
cysylltiedig	linked (adj) 
cysylltiol	connecting (adj) 
cysylltnod	hyphen (n) 
cysylltnodydd	hyphenator (n) 
cysylltu	link (vblex) 
cysyniad	concept (n) 
cytal	cohabit (vblex) 
cytbwys	of_equal_weight (adj) 
cytgord	harmony (n) 
cythruddo	provoke (vblex) 
cythru	rush (vblex) 
cythryblu	harass (vblex) 
cytio	pen (vblex) 
cytsain	consonant (n) 
cytûn	agreed (adj) 
cytundeb	agreement (n.pl) 
cytundebol	agreed (adj) 
cytundebu	make#_a_pact (vblex) 
cytunedd	compatibility (n) 
cytunedig	agreed (adj) 
cytuno	agree (vblex) 
cywain	haul (vblex) 
cywair	key (n) 
cywaith	project (n) 
cywarch	hemp (n) 
cywasg	compressed (adj) 
cywasgedd	compression (n) 
cywasgedig	compressed (adj) 
cywasgedig	condensed (adj) 
cywasgiad	compression (n) 
cywasgu	compress (vblex) 
cywasgydd	compressor (n) 
cyweirio	set#_in_order (vblex) 
cywerth	equivalent (adj) 
cywerthydd	equivalent (n) 
cywilyddio	shame (vblex) 
cywir	correct (adj) 
cywirdeb	accuracy (n) 
cywirdeb	integrity (n) 
cywiriad	correction (n) 
cywiro	correct (vblex) 
cywirydd	checker (n) 
cywrain	skilful (adj) 
cywreinio	adorn (vblex) 
cywydd	alliterative_poem (n) 
cywyddu	versify (vblex) 
dabio	dab (vblex) 
dadamlblecsydd	demultiplexer (n) 
dadamwysydd	disambiguator (n) 
dadansoddiad	analysis (n) 
dadansoddi	analyse (vblex) 
dadansoddydd	analyser (n) 
dadbacio	unpack (vblex) 
dadbwytho	unstitch (vblex) 
dad-ddyfrio	dehydrate (vblex) 
dadebru	revive (vblex) 
dadelfennu	decompose (vblex) 
dadeni	renaissance (n) 
dadfachu	unhitch (vblex) 
dadfeilio	decline (vblex) 
dadflino	refresh (vblex) 
dadfygio	debug (vblex) 
dadl	argument (n) 
dadlau	argue (vblex) 
dadlennu	reveal (vblex) 
dadleoli	displace (vblex) 
dadleuol	controversial (adj) 
dadlewygu	resuscitate (vblex) 
dadluddedu	get#_a_new_lease_of_life (vblex) 
dadlwytho	unload (vblex) 
dadlygru	decontaminate (vblex) 
dadnamydd	debugger (n) 
dadocsideiddio	deoxidise (vblex) 
dadolwch	make#_amends (vblex) 
dadolychu	make#_amends (vblex) 
dadorchuddio	reveal (vblex) 
dadosod	displace (vblex) 
dadosodydd	disassembler (n) 
dadredeg	rerun (vblex) 
dadreoleiddio	deregularise (vblex) 
dadrithiad	disillusionment (n) 
dadroddi	restore (vblex) 
dadsefydlu	disestablish (vblex) 
dadsgriwio	unscrew (vblex) 
daduno	separate (vblex) 
dadwaddoli	disendow (vblex) 
dadweinio	unsheathe (vblex) 
dadwino	languish (vblex) 
dadwisgo	undress (vblex) 
dadwraidd	uproot (vblex) 
dadwrdd	clamour (vblex) 
dadwreiddio	uproot (vblex) 
dadyrddu	clamour (vblex) 
daear	earth (n) 
daeareg	geology (n) 
daeargryn	seism (n) 
daearu	entomb (vblex) 
daearyddiaeth	geography (n) 
daearyddol	geographical (adj) 
dafad	sheep (n) 
Dafydd (np) 	Dafydd (np.ant) 
da	good (adj.sint) 
Dai (np) 	Dai (np.ant) 
daintio	nibble (vblex) 
daioni	goodness (n) 
Daisy (np) 	Daisy (np.ant) 
dalennod	bookmark (n) 
dalen	sheet (n) 
dalfan	placeholder (n) 
dal	hold (vblex) 
daliad	holding (n) 
daliwr	catcher (n) 
dall	blind (adj.sint) 
dallgeibio	bungle (vblex) 
dallgopi	blind_copy (n) 
dallineb	blindness (n) 
dallu	blind (vblex) 
dalwedd	captcha (n) 
Damascus	Damascus (np.top) 
damcaniaethol	theoretical (adj) 
damcaniaethu	theorise (vblex) 
damcanu	theorise (vblex) 
damhegu	speak#_figuratively (vblex) 
Damian (np) 	Damian (np.ant) 
Damien (np) 	Damien (np.ant) 
damnio	damn (vblex) 
damnïol	damning (adj) 
damsangu	trample (vblex) 
damwain	accident (n) 
damwain	befall (vblex) 
damwynio	befall (vblex) 
danfon	dispatch (vblex) 
dangosair	headword (n) 
dangosiad	display (n) 
dangos	show (vblex) 
dangosydd	display (n) 
dangosydd	indicator (n) 
dangosydd	monitor (n) 
danheddu	notch (vblex) 
Daniela (np) 	Daniela (np.ant) 
Danielle (np) 	Danielle (np.ant) 
Daniel (np) 	Daniel (np.ant) 
Danny (np) 	Danny (np.ant) 
dantio	daunt (vblex) 
danto	daunt (vblex) 
dant	tooth (n) 
dantu	bite (vblex) 
dan	under (pr) 
darbwyllo	urge (vblex) 
Darcey (np) 	Darcey (np.ant) 
Darcie (np) 	Darcie (np.ant) 
Darcy (np) 	Darcy (np.ant) 
darfodedigaeth	phthisis (n) 
darfodedig	expired (adj) 
dargludo	conduct (vblex) 
dargopïo	trace (vblex) 
dargyfeirio	diverge (vblex) 
darlithio	lecture (vblex) 
darlith	lecture (n) 
darllaw	brew#_up (vblex) 
darllediad	broadcast (n) 
darlledu	broadcast (vblex) 
darlledwr	broadcaster (n) 
darllenadwyaeth	readability (n) 
darllenadwy	readable (adj) 
darllenedig	read (adj) 
darlleniad	reading (n) 
darllen	read (vblex) 
darllenwr	reader (n) 
darllenydd	reader (n) 
darlosgi	singe (vblex) 
darlunio	illustrate (vblex) 
darluniwr	illustrator (n) 
darlun	picture (n) 
darn	fragment (n) 
darnguddio	conceal#_partially (vblex) 
darnio	tear (vblex) 
darnladd	half-kill (vblex) 
darnodi	denote (vblex) 
darn	piece (n) 
darogan	predict (vblex) 
daroganu	predict (vblex) 
darostwng	subjugate (vblex) 
darpar	designate (adj) 
darparedig	provided (adj) 
darpariaethol	provisional (adj) 
darpariaeth	provision (n) 
darparu	provide (vblex) 
darparwr	provider (n) 
darparydd	provider (n) 
Darren (np) 	Darren (np.ant) 
darsyllu	contemplate (vblex) 
Daryl (np) 	Daryl (np.ant) 
darymred	flit#_about (vblex) 
data	data (n) 
datblygedig	developed (adj) 
datblygiad	development (n) 
datblygiadol	developmental (adj) 
datblygol	developing (adj) 
datblygu	develop (vblex) 
datblygwr	developer (n) 
datgan	declare (vblex) 
datganiadol	declarative (adj) 
datganiad	statement (n) 
datganoledig	decentralised (adj) 
datganoli	decentralise (vblex) 
datganolwr	decentraliser (n) 
datganu	declare (vblex) 
datgelu	reveal (vblex) 
datgloi	unlock (vblex) 
datglymu	untie (vblex) 
datgodydd	decoder (n) 
datgorffori	disincorporate (vblex) 
datguddiad	revelation (n) 
datguddio	disclose (vblex) 
datgyffesu	recant (vblex) 
datgymalu	dislocate (vblex) 
datgysylltiedig	detached (adj) 
datgysylltiol	detachable (adj) 
datgysylltu	disconnect (vblex) 
dathliad	celebration (n) 
dathlu	celebrate (vblex) 
datod	undo (vblex) 
datrannu	dissect (vblex) 
datroi	undo (vblex) 
datrysiad	solution (n) 
datrys	solve (vblex) 
datseilio	undermine (vblex) 
datseinio	reverberate (vblex) 
datselio	unseal (vblex) 
dau-ddimensiwn	two-dimensional (adj) 
dau	two (num) 
David (np) 	David (np.ant) 
Davidson (np) 	Davidson (np.cog) 
Davies (np) 	Davies (np.cog) 
Davis (np) 	Davis (np.cog) 
Dawn (np) 	Dawn (np.ant) 
dawns	dance (n) 
dawnsio	dance (vblex) 
dawnswr	dancer (n) 
dawn	talent (n) 
dawnus	gifted (adj) 
ddaru (vaux.past) 	do (vblex.past) 
ddim	not (adv) 
ddoe	yesterday (adv) 
De_Affrica	South_Africa (np.top) 
dealladwy	understandable (adj) 
dealltwriaeth	understanding (n) 
deall	understand (vblex) 
deallus	intelligent (adj) 
deallusol	intellectual (adj) 
deallus	smart (adj.sint) 
De_America	South_America (np.top) 
Dean (np) 	Dean (np.ant) 
debyd	debit (n) 
debydu	debit (vblex) 
decagon	decagon (n) 
decagram	decagram (n) 
decalitr	decalitre (n) 
decametr	decametre (n) 
dechrau	beginning (n) 
dechrau	begin (vblex) 
dechreuol	initial (adj) 
dechreuwr	newbie (n) 
dechreuwr	novice (n) 
decigram	decigram (n) 
decilitr	decilitre (n) 
decimetr	decimetre (n) 
Declan (np) 	Declan (np.ant) 
De_Corea	South_Korea (np.top) 
deddf	act (n) 
deddfeg	jurisprudence (n) 
deddfu	decree (vblex) 
deddfwriaeth	legislation (n.unc) _
deddfwriaethol	legislative (adj) 
de-ddwyrain	south-east (n.unc) 
dedfrydu	sentence (vblex) 
dedfryd	verdict (n) 
deffroi	waken (vblex) 
deffro	waken (vblex) 
defni	drip (vblex) 
defnyddenw	username (n) 
defnyddiadwy	useable (adj) 
defnyddioldeb	utility (n) 
defnyddiol	useful (adj) 
defnyddio	use (vblex) 
defnyddiwr	user (n) 
defnydd	material (n) 
defnynnu	trickle (vblex) 
defodaeth	ritualism (n) 
degaid	decade (n) 
degawd	decade (n) 
degfed	tenth (det.ord) 
degol	decimal (adj) 
degol	decimal (n) 
degoli	decimalise (vblex) 
degolyn	decimal (n) 
deg	ten (n) 
deg	ten (num) 
degwm	tithe (n) 
degymu	tithe (vblex) 
Deheudir_Affrica	South_Africa (np.top) 
deheuol	southern (adj) 
dehongliad	interpretation (n) 
dehongli	interpret (vblex) 
dehonglwr	interpreter (n) 
dehonglydd	interpreter (n) 
deialo	dial (vblex) 
deialog	dialogue (n) 
deialu	dial (vblex) 
deiet	diet (n) 
deietegydd	dietician (n) 
deifio	dive (vblex) 
deiliad	tenant (n) 
deilio	leaf (vblex) 
deillio	derive#_from (vblex) 
deinosor	dinosaur (n) 
deintio	nibble (vblex) 
deintydd	dentist (n) 
deintyddfa	dental_surgery (n) 
deintyddiaeth	dentistry (n) 
deintyddol	dental (adj) 
deirydu	belong#_to (vblex) 
deiseb	petition (n) 
deisebu	petition (vblex) 
deisyf	beseech (vblex) 
deisyfu	beseech (vblex) 
De_Korea	South_Korea (np.top) 
dêl	deal (n) 
delffu	bewilder (vblex) 
delfrydiaeth	ideality (n) 
delfryd	ideal (n) 
delfrydol	ideal (adj) 
delfrydu	idealise (vblex) 
Delhi_Newydd	New_Delhi (np.top) 
deliadol	dealing (adj) 
delifriad	delivery (n) 
delio	deal (vblex) 
delw-addoli	practise#_idolatry (vblex) 
delwedd	image (n) 
delweddu	portray (vblex) 
delwi	be#_motionless (vblex) 
Demi-Leigh (np) 	Demi-Leigh (np.ant) 
Demi (np) 	Demi (np.ant) 
democrataidd	democratic (adj) 
democrateiddio	democratise (vblex) 
democratiaeth	democracy (n) 
Democratiaid_Rhyddfrydol (np.org) 	Liberal_Democrats (np.org) 
demograffaidd	demographic (adj) 
demograffig	demographic (adj) 
De_Morgannwg	South_Glamorgan (np.top) 
deng	ten (adj) 
deniadol	attractive (adj) 
Denmarc	Denmark (np.top) 
Dennis (np) 	Dennis (np.ant) 
denu	attract (vblex) 
Denys (np) 	Denys (np.ant) 
deondy	deanery (n) 
deoniaeth	deanery (n) 
deor	hatch (vblex) 
deori	hatch (vblex) 
de-orllewin	south-west (n.unc) 
De'r_Affrig	South_Africa (np.top) 
derbyniad	reception (n) 
derbyniedig	received (adj) 
derbyniol	acceptable (adj) 
derbynio	receive (vblex) 
derbyniwr	receiver (n) 
derbyniwr	recipient (n) 
derbynneb	receipt (n) 
derbynnydd	receiver (n) 
derbyn	receive (vblex) 
de	right (n) 
derwen	oak (n) 
derwydd	druid (n) 
Desirée (np) 	Desirée (np.ant) 
de	south (n.unc) 
detholedig	selected (adj) 
detholiadol	selective (adj) 
detholiad	selection (n) 
dethol	select (vblex) 
detholus	select (adj) 
deuaidd	binary (adj) 
deuddegfed	twelfth (det.ord) 
deuddeg	twelve (adj) 
deuffordd	two-way (adj) 
deufisol	bimonthly (adj) 
deufis	two-month_period (n) 
deugain	forty (adj) 
deugeinfed	fortieth (adj) 
deugyfeiriol	bidirectional (adj) 
deunawfed	eighteenth (adj) 
deunydd	material (n) 
deuocsid	dioxide (n) 
deuol	dual (adj) 
deuparth	two-thirds (n) 
dewinio	prophesy (vblex) 
Dewi (np) 	Dewi (np.ant) 
dewin	wizard (n) 
dewis	choice (n) 
dewis	choose (vblex) 
dewisiad	option (n) 
dewisiedig	selected (adj) 
dewislen	menu (n) 
dewisol	discretionary (adj) 
dewisydd	chooser (n) 
dewr	brave (adj.sint) 
Dhesi (np) 	Dhesi (np.cog) 
diabetes	diabetes (n) 
diadellu	herd (vblex) 
diaelodi	dismember (vblex) 
diagnosis	diagnosis (n) 
diagnosteg	diagnostic (n) 
diagnostig	diagnostic (adj) 
diagram	diagram (n) 
dial	take#_revenge (vblex) 
diamedr	diameter (n) 
diamod	unconditional (adj) 
diamwys	explicit (adj) 
dianc	escape (vblex) 
diangen	unnecessary (adj) 
dianghenrhaid	unnecessary (adj) 
dianghenu	satisfy (vblex) 
dianrhydeddu	dishonour (vblex) 
diarfogiad	disarmament (n) 
diarfogi	disarm (vblex) 
